trip,stopId,stopName,timestamp,delay,variant,status
3249550,14821,Zabornia,2022-04-22 06:59:41,101,T201R12,REALTIME
3249550,14819,Stolema,2022-04-22 06:59:38,38,T201R12,REALTIME
3229393,2144,Ciasna,2022-04-22 07:00:17,317,T201R12,REALTIME
3229363,2025,Galeria Bałtycka,2022-04-22 07:00:00,None,T201R12,SCHEDULED
3249550,14818,Łabędzia,2022-04-22 07:01:00,60,T201R12,REALTIME
3229393,2142,Paska,2022-04-22 07:01:21,321,T201R12,REALTIME
3249550,14815,Królewskie Wzgórze,2022-04-22 07:01:59,59,T201R12,REALTIME
3229363,2027,Wojska Polskiego,2022-04-22 07:02:00,None,T201R12,SCHEDULED
3229363,2029,Zamenhofa,2022-04-22 07:02:18,-41,T201R12,REALTIME
3249550,14547,Migowo,2022-04-22 07:02:48,48,T201R12,REALTIME
3229393,2140,Powstańców Warszawskich,2022-04-22 07:03:46,346,T201R12,REALTIME
3229363,2031,Zajezdnia,2022-04-22 07:03:51,-8,T201R12,REALTIME
3249550,14546,Budapesztańska,2022-04-22 07:04:49,49,T201R12,REALTIME
3229363,2033,Strzyża PKM,2022-04-22 07:04:55,-4,T201R12,REALTIME
3229393,2138,Hucisko,2022-04-22 07:07:06,366,T201R12,REALTIME
3249550,2001,Dworzec Główny,2022-04-22 07:25:16,136,T201R12,REALTIME
3229363,2035,Uniwersytet Gdański,2022-04-22 07:06:42,-17,T201R12,REALTIME
3249550,14540,Warneńska,2022-04-22 07:08:29,149,T201R12,REALTIME
3229393,2001,Dworzec Główny,2022-04-22 07:08:17,317,T201R12,REALTIME
3229363,2037,Bażyńskiego,2022-04-22 07:07:57,-2,T201R12,REALTIME
3249550,14538,Belgradzka,2022-04-22 07:09:01,121,T201R12,REALTIME
3229363,2039,Tetmajera,2022-04-22 07:08:54,-5,T201R12,REALTIME
3229393,2005,Brama Oliwska,2022-04-22 07:10:12,252,T201R12,REALTIME
3229363,2041,Derdowskiego,2022-04-22 07:10:00,None,T201R12,SCHEDULED
3249550,14536,Piekarnicza,2022-04-22 07:10:02,62,T201R12,REALTIME
3229393,2007,Chodowieckiego,2022-04-22 07:11:06,246,T201R12,REALTIME
3229363,2043,Obrońców Westerplatte,2022-04-22 07:11:08,8,T201R12,REALTIME
3242996,14825,Lawendowe Wzgórze,2022-04-22 07:13:02,2,T201R12,REALTIME
3229363,202,Oliwa,2022-04-22 07:13:00,None,T201R12,SCHEDULED
3249550,2150,Siedlce,2022-04-22 07:14:47,167,T201R12,REALTIME
3249550,2148,Skrajna,2022-04-22 07:15:35,155,T201R12,REALTIME
3242996,14827,Ujeścisko,2022-04-22 07:16:32,32,T201R12,REALTIME
3249550,2146,Zakopiańska,2022-04-22 07:16:27,147,T201R12,REALTIME
3229393,2015,Opera Bałtycka,2022-04-22 07:16:09,249,T201R12,REALTIME
3249550,2144,Ciasna,2022-04-22 07:17:57,177,T201R12,REALTIME
3229393,2017,Politechnika,2022-04-22 07:17:37,277,T201R12,REALTIME
3249550,2142,Paska,2022-04-22 07:18:51,171,T201R12,REALTIME
3242996,14821,Zabornia,2022-04-22 07:19:23,83,T201R12,REALTIME
3242996,14819,Stolema,2022-04-22 07:19:15,15,T201R12,REALTIME
3249550,2140,Powstańców Warszawskich,2022-04-22 07:20:18,138,T201R12,REALTIME
3229393,2019,Miszewskiego,2022-04-22 07:20:11,311,T201R12,REALTIME
3229393,2021,Jaśkowa Dolina,2022-04-22 07:20:45,225,T201R12,REALTIME
3229462,202,Oliwa,2022-04-22 08:23:00,None,T201R12,SCHEDULED
3229462,14547,Migowo,2022-04-22 07:32:00,None,T201R12,SCHEDULED
3229462,14546,Budapesztańska,2022-04-22 07:34:00,None,T201R12,SCHEDULED
3229462,14540,Warneńska,2022-04-22 07:36:00,None,T201R12,SCHEDULED
3229462,14538,Belgradzka,2022-04-22 07:37:00,None,T201R12,SCHEDULED
3229462,14536,Piekarnicza,2022-04-22 07:39:00,None,T201R12,SCHEDULED
3229462,2150,Siedlce,2022-04-22 07:42:00,None,T201R12,SCHEDULED
3229462,2148,Skrajna,2022-04-22 07:43:00,None,T201R12,SCHEDULED
3229462,2146,Zakopiańska,2022-04-22 07:44:00,None,T201R12,SCHEDULED
3229462,2144,Ciasna,2022-04-22 07:45:00,None,T201R12,SCHEDULED
3229462,2142,Paska,2022-04-22 07:46:00,None,T201R12,SCHEDULED
3229462,2140,Powstańców Warszawskich,2022-04-22 07:48:00,None,T201R12,SCHEDULED
3229462,2138,Hucisko,2022-04-22 07:51:00,None,T201R12,SCHEDULED
3229462,14825,Lawendowe Wzgórze,2022-04-22 07:23:00,None,T201R12,SCHEDULED
3229462,14827,Ujeścisko,2022-04-22 07:26:00,None,T201R12,SCHEDULED
3229462,14821,Zabornia,2022-04-22 07:28:00,None,T201R12,SCHEDULED
3229462,14819,Stolema,2022-04-22 07:29:00,None,T201R12,SCHEDULED
3242996,14818,Łabędzia,2022-04-22 07:20:59,59,T201R12,REALTIME
3229462,14815,Królewskie Wzgórze,2022-04-22 07:31:00,None,T201R12,SCHEDULED
3229462,14818,Łabędzia,2022-04-22 07:30:00,None,T201R12,SCHEDULED
3242996,2005,Brama Oliwska,2022-04-22 07:47:48,108,T201R12,REALTIME
3242996,14815,Królewskie Wzgórze,2022-04-22 07:22:17,77,T201R12,REALTIME
3229393,2023,Klonowa,2022-04-22 07:23:11,311,T201R12,REALTIME
3253324,14825,Lawendowe Wzgórze,2022-04-22 07:23:00,None,T201R12,SCHEDULED
3242996,14547,Migowo,2022-04-22 07:24:16,136,T201R12,REALTIME
3249550,2138,Hucisko,2022-04-22 07:25:32,272,T201R12,REALTIME
3229393,2025,Galeria Bałtycka,2022-04-22 07:25:40,340,T201R12,REALTIME
3253324,14827,Ujeścisko,2022-04-22 07:26:00,None,T201R12,SCHEDULED
3242996,14546,Budapesztańska,2022-04-22 07:25:16,76,T201R12,REALTIME
3229393,2027,Wojska Polskiego,2022-04-22 07:26:21,261,T201R12,REALTIME
3242996,14540,Warneńska,2022-04-22 07:27:47,107,T201R12,REALTIME
3249550,2005,Brama Oliwska,2022-04-22 07:27:13,73,T201R12,REALTIME
3229393,2029,Zamenhofa,2022-04-22 07:27:28,268,T201R12,REALTIME
3253324,14821,Zabornia,2022-04-22 07:28:00,None,T201R12,SCHEDULED
3242996,14538,Belgradzka,2022-04-22 07:28:56,116,T201R12,REALTIME
3253324,14819,Stolema,2022-04-22 07:29:00,None,T201R12,SCHEDULED
3249550,2007,Chodowieckiego,2022-04-22 07:29:13,133,T201R12,REALTIME
3249550,2009,Uniwersytet Medyczny,2022-04-22 07:29:50,110,T201R12,REALTIME
3229393,2031,Zajezdnia,2022-04-22 07:29:32,332,T201R12,REALTIME
3253324,14818,Łabędzia,2022-04-22 07:30:00,None,T201R12,SCHEDULED
3242996,14536,Piekarnicza,2022-04-22 07:30:11,71,T201R12,REALTIME
3249550,2011,Traugutta,2022-04-22 07:31:18,78,T201R12,REALTIME
3229393,2033,Strzyża PKM,2022-04-22 07:30:25,325,T201R12,REALTIME
3253324,14815,Królewskie Wzgórze,2022-04-22 07:31:00,None,T201R12,SCHEDULED
3253324,14547,Migowo,2022-04-22 07:32:00,None,T201R12,SCHEDULED
3229393,2035,Uniwersytet Gdański,2022-04-22 07:31:51,291,T201R12,REALTIME
3249550,2015,Opera Bałtycka,2022-04-22 07:33:41,101,T201R12,REALTIME
3229393,2037,Bażyńskiego,2022-04-22 07:32:50,290,T201R12,REALTIME
3243108,14825,Lawendowe Wzgórze,2022-04-22 07:32:59,0,T201R12,REALTIME
