trip,stopId,stopName,timestamp,delay,variant,status
3271012,2019,Miszewskiego,2022-04-23 06:54:01,1,T201R12,REALTIME
3272128,14536,Piekarnicza,2022-04-23 06:55:00,None,T201R12,SCHEDULED
3271012,2021,Jaśkowa Dolina,2022-04-23 06:56:00,None,T201R12,SCHEDULED
3272128,2150,Siedlce,2022-04-23 06:58:14,14,T201R12,REALTIME
3271012,2023,Klonowa,2022-04-23 06:58:02,62,T201R12,REALTIME
3259734,14825,Lawendowe Wzgórze,2022-04-23 06:59:00,None,T201R12,SCHEDULED
3272128,2148,Skrajna,2022-04-23 06:59:34,34,T201R12,REALTIME
3271012,2025,Galeria Bałtycka,2022-04-23 06:59:58,58,T201R12,REALTIME
3272128,2146,Zakopiańska,2022-04-23 07:00:17,17,T201R12,REALTIME
3271012,2027,Wojska Polskiego,2022-04-23 07:01:00,None,T201R12,SCHEDULED
3271012,2029,Zamenhofa,2022-04-23 07:01:59,0,T201R12,REALTIME
3259734,14827,Ujeścisko,2022-04-23 07:02:00,None,T201R12,SCHEDULED
3272128,2144,Ciasna,2022-04-23 07:02:05,65,T201R12,REALTIME
3272128,2142,Paska,2022-04-23 07:02:50,50,T201R12,REALTIME
3271012,2031,Zajezdnia,2022-04-23 07:03:56,56,T201R12,REALTIME
3259734,14821,Zabornia,2022-04-23 07:04:00,None,T201R12,SCHEDULED
3272128,2140,Powstańców Warszawskich,2022-04-23 07:04:06,6,T201R12,REALTIME
3271012,2033,Strzyża PKM,2022-04-23 07:04:43,43,T201R12,REALTIME
3259734,14819,Stolema,2022-04-23 07:05:00,None,T201R12,SCHEDULED
3259734,14818,Łabędzia,2022-04-23 07:06:00,None,T201R12,SCHEDULED
3271012,2035,Uniwersytet Gdański,2022-04-23 07:06:09,9,T201R12,REALTIME
3271012,2037,Bażyńskiego,2022-04-23 07:07:20,20,T201R12,REALTIME
3259734,14815,Królewskie Wzgórze,2022-04-23 07:07:00,None,T201R12,SCHEDULED
3272128,2138,Hucisko,2022-04-23 07:08:23,83,T201R12,REALTIME
3259734,14547,Migowo,2022-04-23 07:08:00,None,T201R12,SCHEDULED
3271012,2039,Tetmajera,2022-04-23 07:08:31,31,T201R12,REALTIME
3271012,2041,Derdowskiego,2022-04-23 07:09:07,7,T201R12,REALTIME
3272128,2001,Dworzec Główny,2022-04-23 07:10:37,97,T201R12,REALTIME
3259734,14546,Budapesztańska,2022-04-23 07:10:00,None,T201R12,SCHEDULED
